compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD0658	N-acetylvaline	NA	66789
CPD0659	N-delta-acetylornithine	NA	9920500
CPD0660	N-formylanthranilic acid	C05653	101399
CPD0661	N-formylmethionine	C03145	439750
CPD0662	N-formylphenylalanine	NA	759256
CPD0663	N-methylpipecolate	NA	11286529
CPD0664	N-methylproline	NA	557
CPD0665	N-palmitoylserine	NA	6453686
CPD0666	N-trimethyl 5-aminovalerate	NA	NA
CPD0667	N1,N12-diacetylspermine	C03413	132680
CPD0668	N1-Methyl-2-pyridone-5-carboxamide	C05842	69698
CPD0669	N1-Methyl-4-pyridone-3-carboxamide	C05843	440810
CPD0670	N1-methyladenosine	C02494	27476
CPD0671	N1-methylinosine	NA	65095
CPD0672	N2,N2-dimethylguanosine	NA	92919
CPD0673	N2,N5-diacetylornithine	NA	10398396
CPD0674	N4-acetylcytidine	NA	107461
CPD0675	N6,N6,N6-trimethyllysine	C03793	440120
CPD0676	N6-acetyllysine	C02727	92832
CPD0677	N6-carbamoylthreonyladenosine	NA	161466
CPD0678	N6-carboxymethyllysine	NA	123800
CPD0679	N6-succinyladenosine	NA	165243
CPD0685	O-acetylhomoserine	C01077	439389
CPD0687	O-methylcatechol sulfate	NA	22473
CPD0688	O-sulfo-L-tyrosine	NA	514186
CPD0710	PC(12:0/18:1)	NA	NA
CPD0711	PC(12:0/18:2)	NA	NA
CPD0712	PC(14:0/14:0)	NA	NA
CPD0713	PC(14:0/16:1)	NA	NA
CPD0714	PC(14:0/18:1)	NA	NA
CPD0715	PC(14:0/18:2)	NA	NA
CPD0716	PC(14:0/18:3)	NA	NA
CPD0717	PC(14:0/20:2)	NA	NA
CPD0718	PC(14:0/20:3)	NA	NA
CPD0719	PC(14:0/20:4)	NA	NA
CPD0720	PC(14:0/22:4)	NA	NA
CPD0721	PC(14:0/22:5)	NA	NA
CPD0722	PC(14:0/22:6)	NA	NA
CPD0723	PC(15:0/16:1)	NA	NA
CPD0724	PC(15:0/18:1)	NA	NA
CPD0725	PC(15:0/18:2)	NA	NA
CPD0726	PC(15:0/20:3)	NA	NA
CPD0727	PC(15:0/20:4)	NA	NA
CPD0728	PC(15:0/22:5)	NA	NA
CPD0729	PC(15:0/22:6)	NA	NA
CPD0730	PC(16:0/12:0)	NA	NA
CPD0731	PC(16:0/14:0)	NA	NA
CPD0732	PC(16:0/14:1)	NA	NA
CPD0733	PC(16:0/16:0)	NA	NA
CPD0734	PC(16:0/16:1)	NA	NA
CPD0735	PC(16:0/18:0)	NA	NA
CPD0736	PC(16:0/18:1)	C13875	NA
CPD0737	PC(16:0/18:2)	NA	NA
CPD0738	PC(16:0/18:3)	NA	NA
