compound_id	BIOCHEMICAL	INCHIKEY
CPD00551	9-hydroxystearate	RKHXDCVAPIMDMG-UHFFFAOYAA
CPD00154	acetoacetate	WDJHALXBUFZDSR-UHFFFAOYAH
CPD00233	acetylcarnitine (C2)	RDHQFKQIGNGIED-MRVPVSSYBU
CPD00532	acisoga	OAUYENAPBFTAQT-UHFFFAOYAN
CPD00318	aconitate [cis or trans]	
CPD00022	adenosine 3',5'-cyclic monophosphate (cAMP)	IVOMOUWHDPKRLL-UHFFFAOYAA
CPD00023	adenosine 5'-diphosphate (ADP)	XTWYTFMLZFPYCI-KQYNXXCUBP
CPD00024	adenosine 5'-monophosphate (AMP)	UDMBCSSLTHHNCD-RWLQFSFNBF
CPD00602	adipoylcarnitine (C6-DC)	BSVHAXJKBCWVDA-UHFFFAOYAF
CPD00278	adrenate (22:4n6)	TWSWSIQAPQLDBP-CGRWFSSPBH
CPD00099	alanine	QNAYBMKLOCPYGJ-REOHCLBHBS
CPD00121	allantoin	POJWUDADGALRAB-UHFFFAOYAE
CPD00500	alliin	XUHLIQGRKRUKPH-ITZCMCNPBT
CPD00389	alpha-hydroxycaproate	NYHNVHGFPZAZGA-UHFFFAOYAC
CPD00222	alpha-hydroxyisocaproate	LVRFTAZAXQPQHI-YFKPBYRVBW
CPD00309	alpha-hydroxyisovalerate	NGEWQZIDQIYUNV-UHFFFAOYAS
CPD00094	alpha-ketobutyrate	TYEYBOSBBBHJIV-REWHXWOFAN
CPD00462	alpha-ketoglutaramate*	COJBGNAUUSNXHX-UHFFFAOYAQ
CPD00005	alpha-ketoglutarate	KPGXRSRHYNQIFN-UHFFFAOYAN
CPD00139	alpha-tocopherol	GVJHHUAWPYXKBD-IEOSBIPEBS
CPD00449	andro steroid monosulfate C19H28O6S (1)*	
CPD00436	androstenediol (3alpha, 17alpha) monosulfate (3)	
CPD00424	androstenediol (3beta,17beta) disulfate (1)	
CPD00426	androstenediol (3beta,17beta) disulfate (2)	
CPD00437	androstenediol (3beta,17beta) monosulfate (1)	
CPD00438	androstenediol (3beta,17beta) monosulfate (2)	
CPD00475	androsterone glucuronide	VFUIRAVTUVCQTF-BSOWLZGZBS
CPD00258	androsterone sulfate	ZMITXKRGXGRMKS-CZTOYULQBN
CPD00163	anthranilate	RWZYAGGXGHYGMB-UHFFFAOYAS
CPD00599	arabitol/xylitol	
CPD00566	arabonate/xylonate	
CPD00111	arachidate (20:0)	VKOBVWXKNCXXDE-UHFFFAOYAB
CPD00026	arachidonate (20:4n6)	YZXBAPSDXZZRGB-DOFZRALJBE
CPD00725	arachidonoylcarnitine (C20:4)	
CPD00676	arachidonoylcholine	
CPD00721	arachidoylcarnitine (C20)*	SVJLJQBGUITFLI-UHFFFAOYAV
CPD00476	argininate*	BMFMQGXDDJALKQ-BYPYZUCNBB
CPD00027	arginine	ODKSFYDXXFIFQN-UHFFFAOYAT
CPD00674	ascorbic acid 2-sulfate	SKKZOYBAANIUOV-ZAFYKAAXBH
CPD00779	ascorbic acid 3-sulfate*	FBFZPSQPKNIVMT-ZAFYKAAXBA
CPD00113	asparagine	DCXYFEDJOCDNAF-REOHCLBHBD
CPD00028	aspartate	CKLJMWTZIZZHCS-REOHCLBHBW
CPD00644	behenoyl dihydrosphingomyelin (d18:0/22:0)*	FONAXCRWZQFJHY-JCGOJSMZBF
CPD00584	behenoyl sphingomyelin (d18:1/22:0)*	
CPD00720	behenoylcarnitine (C22)*	IUMXSSOVGPXXJL-UHFFFAOYAY
CPD00184	benzoate	WPYMKLBDIGXBTP-UHFFFAOYAD
CPD00032	beta-alanine	UCMIRNVEIXFBKS-UHFFFAOYAL
CPD00494	beta-citrylglutamate	GAQNUGISBQJMKO-UHFFFAOYAK
CPD00419	beta-cryptoxanthin	DMASLKHVQRHNES-QQGJMDNJBV
CPD00166	beta-hydroxyisovalerate	4000
CPD00373	beta-hydroxyisovaleroylcarnitine	IGLHHSKNBDXCEY-UHFFFAOYAG
CPD00095	betaine	KWIUHFFTVRNATP-UHFFFAOYAI
CPD00416	bilirubin (E,E)*	BPYKTIZUTYGOLE-BMNRKXREBL
CPD00417	bilirubin (E,Z or Z,E)*	BPYKTIZUTYGOLE-VVCLLGATBN
CPD00135	bilirubin (Z,Z)	BPYKTIZUTYGOLE-IFADSCNNBS
CPD00862	bilirubin degradation product, C16H18N2O5 (1)**	
CPD00863	bilirubin degradation product, C16H18N2O5 (2)**	
CPD00870	bilirubin degradation product, C16H18N2O5 (3)**	
CPD00871	bilirubin degradation product, C16H18N2O5 (4)**	
CPD00864	bilirubin degradation product, C17H18N2O4 (1)**	
CPD00865	bilirubin degradation product, C17H18N2O4 (2)**	
