compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD000684	PC(18:1/22:4)	NA	.
CPD000685	PC(18:1/22:5)	NA	.
CPD000686	PC(18:1/22:6)	NA	.
CPD000687	PC(18:2/16:1)	NA	.
CPD000688	PC(18:2/18:2)	NA	.
CPD000689	PC(18:2/18:3)	NA	.
CPD000690	PC(18:2/20:1)	NA	.
CPD000691	PC(18:2/20:2)	NA	.
CPD000692	PC(18:2/20:3)	NA	.
CPD000693	PC(18:2/20:4)	NA	.
CPD000694	PC(18:2/20:5)	NA	.
CPD000695	PC(18:2/22:4)	NA	.
CPD000696	PC(18:2/22:5)	NA	.
CPD000697	PC(18:2/22:6)	NA	.
CPD000698	PC(20:0/14:1)	NA	.
CPD000699	PC(20:0/16:1)	NA	.
CPD000700	PC(20:0/18:1)	NA	.
CPD000701	PC(20:0/18:2)	NA	.
CPD000702	PC(20:0/18:3)	NA	.
CPD000703	PC(20:0/20:2)	NA	.
CPD000704	PC(20:0/20:3)	NA	.
CPD000705	PC(20:0/20:4)	NA	.
CPD000706	PC(20:0/20:5)	NA	.
CPD000707	PC(20:0/22:5)	NA	.
CPD000708	PC(20:0/22:6)	NA	.
CPD000709	PE(14:0/18:1)	NA	.
CPD000710	PE(16:0/14:0)	NA	.
CPD000711	PE(16:0/16:0)	NA	.
CPD000712	PE(16:0/16:1)	NA	.
CPD000713	PE(16:0/18:1)	NA	.
CPD000714	PE(16:0/18:2)	NA	.
CPD000715	PE(16:0/18:3)	NA	.
CPD000716	PE(16:0/20:1)	NA	.
CPD000717	PE(16:0/20:2)	NA	.
CPD000718	PE(16:0/20:3)	NA	.
CPD000719	PE(16:0/20:4)	NA	.
CPD000720	PE(16:0/20:5)	NA	.
CPD000721	PE(16:0/22:4)	NA	.
CPD000722	PE(16:0/22:5)	NA	.
CPD000723	PE(16:0/22:6)	NA	.
CPD000724	PE(17:0/18:1)	NA	.
CPD000725	PE(17:0/18:2)	NA	.
CPD000726	PE(17:0/20:2)	NA	.
CPD000727	PE(17:0/20:4)	NA	.
CPD000728	PE(17:0/22:4)	NA	.
CPD000729	PE(17:0/22:5)	NA	.
CPD000730	PE(17:0/22:6)	NA	.
CPD000731	PE(18:0/16:0)	NA	.
CPD000732	PE(18:0/16:1)	NA	.
CPD000733	PE(18:0/18:0)	NA	.
CPD000734	PE(18:0/18:1)	NA	.
CPD000735	PE(18:0/18:2)	NA	.
CPD000736	PE(18:0/18:3)	NA	.
CPD000737	PE(18:0/20:1)	NA	.
CPD000738	PE(18:0/20:2)	NA	.
CPD000739	PE(18:0/20:3)	NA	.
CPD000740	PE(18:0/20:4)	NA	.
CPD000741	PE(18:0/20:5)	NA	.
CPD000742	PE(18:0/22:4)	NA	.
CPD000743	PE(18:0/22:5)	NA	.
CPD000744	PE(18:0/22:6)	NA	.
CPD000745	PE(18:1/14:1)	NA	.
CPD000746	PE(18:1/16:1)	NA	.
CPD000747	PE(18:1/18:1)	NA	.
CPD000748	PE(18:1/18:2)	NA	.
CPD000749	PE(18:1/18:3)	NA	.
CPD000750	PE(18:1/20:1)	NA	.
CPD000751	PE(18:1/20:2)	NA	.
CPD000752	PE(18:1/20:3)	NA	.
CPD000753	PE(18:1/20:4)	NA	.
CPD000754	PE(18:1/20:5)	NA	.
CPD000755	PE(18:1/22:0)	NA	.
CPD000756	PE(18:1/22:4)	NA	.
CPD000757	PE(18:1/22:5)	NA	.
CPD000758	PE(18:1/22:6)	NA	.
CPD000759	PE(18:2/14:1)	NA	.
CPD000760	PE(18:2/16:1)	NA	.
CPD000761	PE(18:2/18:2)	NA	.
CPD000762	PE(18:2/18:3)	NA	.
CPD000763	PE(18:2/20:1)	NA	.
CPD000764	PE(18:2/20:2)	NA	.
