compound_id	chemical_name	analysismode	rt	mz
C000466	11.58_321.2422	RP_POS	11.58	321.2422
C000467	10.51_327.2140	RP_POS	10.51	327.214
C000468	6.67_332.2175	RP_POS	6.67	332.2175
C000469	13.53_274.2244	RP_POS	13.53	274.2244
C000470	9.19_540.2806	RP_POS	9.19	540.2806
C000471	11.67_271.1690	RP_POS	11.67	271.169
C000472	7.59_217.1698	RP_POS	7.59	217.1698
C000473	4.46_298.1647	RP_POS	4.46	298.1647
C000474	7.10_409.1161	RP_POS	7.1	409.1161
C000475	6.43_284.1184	RP_POS	6.43	284.1184
C000476	3.20_160.0798	RP_POS	3.2	160.0798
C000477	7.59_436.0652	RP_POS	7.59	436.0652
C000478	8.60_535.1925	RP_POS	8.6	535.1925
C000479	7.62_328.1753	RP_POS	7.62	328.1753
C000480	1.37_226.1285	RP_POS	1.37	226.1285
C000481	5.34_386.1232	RP_POS	5.34	386.1232
C000482	6.98_244.0855	RP_POS	6.98	244.0855
C000483	4.66_345.1654	RP_POS	4.66	345.1654
C000484	6.54_318.2021	RP_POS	6.54	318.2021
C000485	9.53_440.1675	RP_POS	9.53	440.1675
C000486	3.01_286.1220	RP_POS	3.01	286.122
C000487	6.33_342.1215	RP_POS	6.33	342.1215
C000488	11.92_469.1578	RP_POS	11.92	469.1578
C000489	4.06_96.0570	RP_POS	4.06	96.057
C000490	8.67_288.1264	RP_POS	8.67	288.1264
C000491	9.42_330.1459	RP_POS	9.42	330.1459
C000492	11.92_498.0922	RP_POS	11.92	498.0922
C000493	10.96_285.1846	RP_POS	10.96	285.1846
C000494	11.08_567.2049	RP_POS	11.08	567.2049
C000495	0.62_164.0294	RP_POS	0.62	164.0294
C000496	3.29_304.1025	RP_POS	3.29	304.1025
C000497	7.21_405.1154	RP_POS	7.21	405.1154
C000498	7.76_474.2689	RP_POS	7.76	474.2689
